window,symbol,sentiment_index,total_engagement,avg_confidence,message_count
"{\"start\":\"2026-04-07T18:40:00.000+05:30\",\"end\":\"2026-04-07T18:45:00.000+05:30\"}",BTC,8.000779151916504,10,0.8000779151916504,1
"{\"start\":\"2026-04-08T00:45:00.000+05:30\",\"end\":\"2026-04-08T00:50:00.000+05:30\"}",BTC,51.88257694244385,110,0.9457070827484131,2
"{\"start\":\"2026-04-08T13:05:00.000+05:30\",\"end\":\"2026-04-08T13:10:00.000+05:30\"}",BTC,34.32543468475342,36,0.953484296798706,1
"{\"start\":\"2026-04-08T03:10:00.000+05:30\",\"end\":\"2026-04-08T03:15:00.000+05:30\"}",BTC,46.1011905670166,48,0.9604414701461792,1
"{\"start\":\"2026-04-08T03:45:00.000+05:30\",\"end\":\"2026-04-08T03:50:00.000+05:30\"}",BTC,3.6792821884155273,4,0.9198205471038818,1
"{\"start\":\"2026-04-08T16:50:00.000+05:30\",\"end\":\"2026-04-08T16:55:00.000+05:30\"}",BTC,-2.571171815578754,110,0.8920203630740826,13
"{\"start\":\"2026-04-08T03:55:00.000+05:30\",\"end\":\"2026-04-08T04:00:00.000+05:30\"}",BTC,14.021376371383667,15,0.9347584247589111,1
"{\"start\":\"2026-04-08T00:50:00.000+05:30\",\"end\":\"2026-04-08T00:55:00.000+05:30\"}",BTC,20.20925384759903,21,0.9623454213142395,1
"{\"start\":\"2026-04-08T01:05:00.000+05:30\",\"end\":\"2026-04-08T01:10:00.000+05:30\"}",BTC,11.063771724700928,12,0.9219809770584106,1
"{\"start\":\"2026-04-08T15:25:00.000+05:30\",\"end\":\"2026-04-08T15:30:00.000+05:30\"}",BTC,27.43537187576294,29,0.946047306060791,1
"{\"start\":\"2026-04-07T21:15:00.000+05:30\",\"end\":\"2026-04-07T21:20:00.000+05:30\"}",BTC,40.19109070301056,43,0.9346765279769897,1
"{\"start\":\"2026-04-08T15:40:00.000+05:30\",\"end\":\"2026-04-08T15:45:00.000+05:30\"}",BTC,35.08918583393097,38,0.9233996272087097,1
"{\"start\":\"2026-04-08T08:15:00.000+05:30\",\"end\":\"2026-04-08T08:20:00.000+05:30\"}",BTC,42.55451661348343,49,0.8684595227241516,1
"{\"start\":\"2026-04-08T13:10:00.000+05:30\",\"end\":\"2026-04-08T13:15:00.000+05:30\"}",BTC,21.067509412765503,23,0.9159786701202393,1
"{\"start\":\"2026-04-08T05:40:00.000+05:30\",\"end\":\"2026-04-08T05:45:00.000+05:30\"}",BTC,19.162952661514282,67,0.8013781507809957,3
"{\"start\":\"2026-04-08T15:45:00.000+05:30\",\"end\":\"2026-04-08T15:50:00.000+05:30\"}",BTC,-7.6681458950042725,36,0.9213190078735352,2
"{\"start\":\"2026-04-08T03:50:00.000+05:30\",\"end\":\"2026-04-08T03:55:00.000+05:30\"}",BTC,-6.830235183238983,7,0.9757478833198547,1
